date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2025-01-01 00:00:00,30.3,26.2,33.2,0.2,,,10.1,,1008.5,
2025-01-02 00:00:00,29.8,26.8,33.2,2.7,,,9.4,,1008.6,
2025-01-03 00:00:00,29.6,26.7,33,2.3,,,10.6,,1008.7,
2025-01-04 00:00:00,28.6,27,32,9.1,,,11.5,,1009,
2025-01-05 00:00:00,29.4,26,33,1.8,,,11,,1009.2,
2025-01-06 00:00:00,29.3,27,32.5,12.7,,,10.4,,1009.4,
2025-01-07 00:00:00,28.7,25.7,33,4.1,,,8.8,,1009.9,
2025-01-08 00:00:00,28.8,25.8,32,1.1,,,7.4,,1009.4,
2025-01-09 00:00:00,30,26.6,33,0.2,,,10.7,,1010.1,
2025-01-10 00:00:00,29.9,27,34,2.1,,,15.9,,1011,
2025-01-11 00:00:00,28,26,31,3.8,,,13.7,,1011.8,
2025-01-12 00:00:00,27.9,26,30,2.9,,,16.5,,1010.8,
2025-01-13 00:00:00,27.4,26,29.9,0.6,,,17.9,,1010,
2025-01-14 00:00:00,29,25,33.1,0.4,,,16.2,,1010.1,
2025-01-15 00:00:00,27.3,25,29.7,10.9,,,14,,1010.1,
2025-01-16 00:00:00,27.9,24.9,30.1,5.3,,,7.1,,1010,
2025-01-17 00:00:00,28.9,26.9,32.2,1.9,,,13.6,,1009.1,
2025-01-18 00:00:00,29,26.7,32,2.3,,,17.6,,1009,
2025-01-19 00:00:00,28.8,26,32,4.7,,,10.6,,1008.3,
2025-01-20 00:00:00,29.1,26,33,0,,,9.6,,1007.9,
2025-01-21 00:00:00,29.1,25.7,32.1,0.1,,,8.4,,1008.2,
2025-01-22 00:00:00,28.3,26.9,32,0.6,,,7.7,,1008.8,
2025-01-23 00:00:00,28.3,25.8,32.3,6.6,,,8.8,,1008.7,
2025-01-24 00:00:00,27.1,25,31,12,,,10.4,,1008.4,
2025-01-25 00:00:00,28.1,25,32,18.1,,,7.5,,1008.2,
2025-01-26 00:00:00,27.6,24.9,30.3,20.3,,,7.4,,1008.6,
2025-01-27 00:00:00,27.6,25,31.2,2.4,,,7.3,,1007.9,
2025-01-28 00:00:00,27.7,25.3,30.3,0.5,,,7.4,,1010.4,
2025-01-29 00:00:00,28.9,26,32,1.1,,,12.3,,1011,
2025-01-30 00:00:00,28.8,25.3,33,0.5,,,11.1,,1009.7,
2025-01-31 00:00:00,29.1,25.4,33,0,,,10,,1009,
2025-02-01 00:00:00,27.7,26,32.8,0,,,8.7,,1008.6,
2025-02-02 00:00:00,27.9,24,32,0,,,4.7,,1008.8,
2025-02-03 00:00:00,27.8,23.6,32,0,,,6.4,,1008.4,
2025-02-04 00:00:00,28.9,25,33.7,0.3,,,6.7,,1009.2,
2025-02-05 00:00:00,29.1,26.6,32.7,0.4,,,11.8,,1009,
2025-02-06 00:00:00,30,26,34.2,2,,,7.6,,1008.2,
2025-02-07 00:00:00,29.9,26.2,33,0,,,9,,1008.7,
2025-02-08 00:00:00,29.2,26,33,0.4,,,10.2,,1008.8,
2025-02-09 00:00:00,29.1,25.3,33.2,0,,,10.8,,1009.2,
2025-02-10 00:00:00,29.4,26.8,32.5,3.1,,,9.2,,1009.7,
2025-02-11 00:00:00,29.2,26,33,0.6,,,9.6,,1010.3,
2025-02-12 00:00:00,29.7,26.5,33,0,,,8,,1010.6,
2025-02-13 00:00:00,30.2,26.6,34.1,0,,,5.6,,1010.1,
2025-02-14 00:00:00,30.1,27,34,10.7,,,6.7,,1009.8,
2025-02-15 00:00:00,29.5,28,32,9.1,,,6.8,,1009,
2025-02-16 00:00:00,29.5,26.7,33,6.8,,,6,,1009.6,
2025-02-17 00:00:00,29.6,27,32.2,1.3,,,6.9,,1010.2,
2025-02-18 00:00:00,29.8,27,33.5,3.2,,,9.9,,1010.2,
2025-02-19 00:00:00,28.7,26.7,32.7,3.1,,,8.3,,1010.1,
2025-02-20 00:00:00,28.7,25.7,32.2,5.2,,,9.1,,1009.9,
2025-02-21 00:00:00,28.6,26.9,32.5,8.8,,,6.7,,1010.7,
2025-02-22 00:00:00,29,26,33,8,,,6.3,,1010.8,
2025-02-23 00:00:00,28.7,26.7,32,6.3,,,8.2,,1011.2,
2025-02-24 00:00:00,28.7,27,32,11,,,9.6,,1011.3,
2025-02-25 00:00:00,29.1,27,33,2.4,,,9.6,,1012,
2025-02-26 00:00:00,29,27,33,10.1,,,12.1,,1011.6,
2025-02-27 00:00:00,28.9,27,31.5,1.8,,,10.2,,1010.9,
2025-02-28 00:00:00,28.8,26,32,2,,,7.6,,1010.3,
2025-03-01 00:00:00,29.6,26,33,1.9,,,9.6,,1009.2,
2025-03-02 00:00:00,30.5,27,34.7,1,,,9.9,,1007.6,
2025-03-03 00:00:00,30.5,27,34.6,0.5,,,9.8,,1007.7,
2025-03-04 00:00:00,30.4,27,34.1,0.5,,,8,,1007.4,
2025-03-05 00:00:00,30.6,27,35,4.1,,,6.8,,1007.4,
2025-03-06 00:00:00,29.6,28,32.6,21,,,7.5,,1008.6,
2025-03-07 00:00:00,30.6,27,34,1.2,,,8.1,,1007.8,
