date, pm25, pm10, o3, no2, so2, co, aqi
2026/4/14, 58, , , , , , 
2025/10/1, 84, 26, 13, 4, , , 
2025/10/2, 63, 19, 9, 5, , , 
2025/10/3, 45, 19, 15, 5, , , 
2025/10/4, 49, 25, 17, 5, , , 
2025/10/5, 59, 21, 7, 3, , , 
2025/10/6, 52, 20, 13, 4, , , 
2025/10/7, 50, 23, 14, 5, , , 
2025/10/8, 57, 20, 8, 4, , , 
2025/10/9, 49, 17, 7, 3, , , 
2025/10/10, 42, 17, 6, 3, , , 
2025/10/11, 41, 13, 8, 4, , , 
2025/10/12, 34, 18, 16, 5, , , 
2025/10/13, 46, 25, 16, 5, , , 
2025/10/14, 63, 34, 15, 6, , , 
2025/10/15, 83, 22, 14, 5, , , 
2025/10/16, 53, 17, 11, 5, , , 
2025/10/17, 44, 14, 11, 5, , , 
2025/10/18, 40, 16, 12, 4, , , 
2025/10/19, 46, 17, 7, 3, , , 
2025/10/20, 46, 17, 6, 2, , , 
2025/10/21, 38, 12, 4, 3, , , 
2025/10/22, 32, 15, 8, 4, , , 
2025/10/23, 39, 12, 11, 5, , , 
2025/10/24, 34, 16, 5, 5, , , 
2025/10/25, 42, 21, 13, 3, , , 
2025/10/26, 51, 23, 11, 4, , , 
2025/10/27, 57, 24, 10, 3, , , 
2025/10/28, 57, 23, 6, 4, , , 
2025/10/29, 56, 20, 6, 5, , , 
2025/10/30, 51, 20, 8, 5, , , 
2025/10/31, 50, , , , , , 
2025/7/28, 95, 41, 19, 4, , , 60
2025/7/29, 86, 42, 17, 5, , , 64
2025/7/30, 92, 48, 19, 5, , , 73
2025/7/31, 105, 51, 19, 6, , , 74
2025/8/1, 114, 45, 19, 4, , , 83
2025/8/2, 99, 40, 20, 4, , , 80
2025/8/3, 90, 36, 6, 6, , , 70
2025/8/4, 85, 30, 13, 4, , , 
2025/8/5, 59, 34, 9, 7, , , 
2025/8/6, 73, 38, 24, 5, , , 
2025/8/7, 88, 39, 14, 7, , , 
2025/8/8, 95, 32, 17, 6, , , 
2025/8/9, 80, 22, 7, 4, , , 
2025/8/10, 55, 20, 8, 6, , , 
2025/8/11, 53, 28, 16, 5, 1, , 
2025/8/12, 67, 31, 14, 5, , , 
2025/8/13, 71, 38, 12, 4, , , 
2025/8/14, 85, 22, 15, 6, , , 
2025/8/15, 58, 30, 14, 6, , , 
2025/8/16, 70, 35, 16, 6, , , 
2025/8/17, 91, 37, 19, 5, , , 
2025/8/18, 89, 36, 20, 6, , , 
2025/8/19, 86, 19, 17, 5, , , 
2025/8/20, 54, 27, 8, 8, , , 
2025/8/21, 67, 31, 20, 5, 1, , 
2025/8/22, 78, 20, 17, 4, , , 
2025/8/23, 51, 12, 9, 2, , , 
2025/8/24, 31, 26, 14, 5, , , 
2025/8/25, 62, 35, 14, 5, , , 
2025/8/26, 81, 46, 13, 8, , , 
2025/8/27, 101, 26, 11, 5, , , 
2025/8/28, 62, 26, 7, 5, , , 
2025/8/29, 64, 21, 11, 3, , , 
2025/8/30, 46, 24, 12, 4, , , 
2025/8/31, 60, 19, 12, 3, , , 
2025/9/1, 48, 20, 9, 3, , , 
2025/9/2, 46, 18, 10, 4, , , 
2025/9/3, 45, 23, 5, 5, , , 
2025/9/4, 54, 21, 10, 3, , , 
2025/9/5, 52, 31, 15, 5, , , 
2025/9/6, 70, 27, 13, 5, , , 
2025/9/7, 71, 28, 20, 4, , , 
2025/9/8, 70, 21, 17, 5, , , 
2025/9/9, 56, 27, 21, 7, , , 
2025/9/10, 65, 30, 8, 5, , , 
2025/9/11, 69, 14, 6, 4, , , 
2025/9/12, 36, 15, 11, 3, , , 
2025/9/13, 40, 21, 15, 4, , , 
2025/9/14, 57, 17, 7, 5, , , 
2025/9/15, 45, 22, 15, 6, , , 
2025/9/16, 58, 15, 15, 4, , , 
2025/9/17, 40, 27, 16, 6, , , 
2025/9/18, 69, 31, 14, 5, , , 
2025/9/19, 76, 24, 9, 3, , , 
2025/9/20, 55, 23, 11, 3, , , 
2025/9/21, 58, 25, 15, 3, , , 
2025/9/22, 57, 22, 11, 4, , , 
2025/9/23, 54, 22, 8, 5, , , 
2025/9/24, 53, 21, 9, 4, , , 
2025/9/25, 47, 29, 21, 4, , , 
2025/9/26, 68, 33, 17, 5, , , 
2025/9/27, 78, 16, 7, 4, , , 
2025/9/28, 43, 17, 8, 4, , , 
2025/9/29, 41, 27, 18, 4, , , 
2025/9/30, 64, 36, 9, 8, , , 
2026/4/13, , 26, 1, 11, , , 
2025/7/27, , 52, 2, 9, , , 62
2025/7/1, , , , , , , 71
2025/7/2, , , , , , , 64
2025/7/3, , , , , , , 56
2025/7/4, , , , , , , 69
2025/7/5, , , , , , , 63
2025/7/6, , , , , , , 68
2025/7/7, , , , , , , 74
2025/7/8, , , , , , , 69
2025/7/9, , , , , , , 60
2025/7/10, , , , , , , 61
2025/7/11, , , , , , , 58
2025/7/12, , , , , , , 48
2025/7/13, , , , , , , 53
2025/7/14, , , , , , , 54
2025/7/15, , , , , , , 68
2025/7/16, , , , , , , 59
2025/7/17, , , , , , , 75
2025/7/18, , , , , , , 73
2025/7/19, , , , , , , 74
2025/7/20, , , , , , , 71
2025/7/21, , , , , , , 63
2025/7/22, , , , , , , 70
2025/7/23, , , , , , , 66
2025/7/24, , , , , , , 66
2025/7/25, , , , , , , 57
2025/7/26, , , , , , , 58
2025/4/1, , , , , , , 63
2025/4/2, , , , , , , 61
2025/4/3, , , , , , , 63
2025/4/4, , , , , , , 62
2025/4/5, , , , , , , 62
2025/4/6, , , , , , , 58
2025/4/7, , , , , , , 58
2025/4/8, , , , , , , 65
2025/4/9, , , , , , , 67
2025/4/10, , , , , , , 66
2025/4/11, , , , , , , 58
2025/4/12, , , , , , , 51
2025/4/13, , , , , , , 58
2025/4/14, , , , , , , 55
2025/4/15, , , , , , , 61
2025/4/16, , , , , , , 57
2025/4/17, , , , , , , 60
2025/4/18, , , , , , , 58
2025/4/19, , , , , , , 45
2025/4/20, , , , , , , 30
2025/4/21, , , , , , , 31
2025/4/22, , , , , , , 50
2025/4/23, , , , , , , 59
2025/4/24, , , , , , , 58
2025/4/25, , , , , , , 59
2025/4/26, , , , , , , 63
2025/4/27, , , , , , , 55
2025/4/28, , , , , , , 53
2025/4/29, , , , , , , 49
2025/4/30, , , , , , , 52
2025/5/1, , , , , , , 55
2025/5/2, , , , , , , 54
2025/5/3, , , , , , , 53
2025/5/4, , , , , , , 55
2025/5/5, , , , , , , 46
2025/5/6, , , , , , , 56
2025/5/7, , , , , , , 55
2025/5/8, , , , , , , 46
2025/5/9, , , , , , , 46
2025/5/10, , , , , , , 42
2025/5/11, , , , , , , 35
2025/5/12, , , , , , , 47
2025/5/13, , , , , , , 52
2025/5/14, , , , , , , 60
2025/5/15, , , , , , , 76
2025/5/16, , , , , , , 61
2025/5/17, , , , , , , 56
2025/5/18, , , , , , , 55
2025/5/19, , , , , , , 51
2025/5/20, , , , , , , 52
2025/5/21, , , , , , , 52
2025/5/22, , , , , , , 47
2025/5/23, , , , , , , 43
2025/5/24, , , , , , , 39
2025/5/25, , , , , , , 44
2025/5/26, , , , , , , 48
2025/5/27, , , , , , , 41
2025/5/28, , , , , , , 57
2025/5/29, , , , , , , 64
2025/5/30, , , , , , , 67
2025/5/31, , , , , , , 74
2025/6/1, , , , , , , 71
2025/6/2, , , , , , , 64
2025/6/3, , , , , , , 78
2025/6/4, , , , , , , 68
2025/6/5, , , , , , , 59
2025/6/6, , , , , , , 48
2025/6/7, , , , , , , 48
2025/6/8, , , , , , , 43
2025/6/9, , , , , , , 49
2025/6/10, , , , , , , 48
2025/6/11, , , , , , , 55
2025/6/12, , , , , , , 61
2025/6/13, , , , , , , 73
2025/6/14, , , , , , , 80
2025/6/15, , , , , , , 74
2025/6/16, , , , , , , 62
2025/6/17, , , , , , , 51
2025/6/18, , , , , , , 50
2025/6/19, , , , , , , 55
2025/6/20, , , , , , , 51
2025/6/21, , , , , , , 57
2025/6/22, , , , , , , 50
2025/6/23, , , , , , , 50
2025/6/24, , , , , , , 50
2025/6/25, , , , , , , 75
2025/6/26, , , , , , , 81
2025/6/27, , , , , , , 79
2025/6/28, , , , , , , 86
2025/6/29, , , , , , , 76
2025/6/30, , , , , , , 68
2025/1/1, , , , , , , 64
2025/1/2, , , , , , , 60
2025/1/3, , , , , , , 63
2025/1/4, , , , , , , 65
2025/1/5, , , , , , , 60
2025/1/6, , , , , , , 58
